# ----------------------------------------
# Visão geral da aquisição
# Conta: Innevo
# Propriedade: Indicadores Econômicos Hoje
# ----------------------------------------
#  
# Data de início: 20260101
# Data de término: 20260610
Nª semana,Usuários ativos
slikk.com,1
snappyfingers.com,0
sperse.com,1
statics.teams.cdn.office.net,1
targ8.com,1
teoma.com,1
toile.com,1
trooker.com,0
vadlo.com,0
web.stagram.com,1

# Data de início: 20250724
# Data de término: 20251231
Origem da campanha manual da sessão,Sessões
bing,14
google,36
br.search.yahoo.com,0
chatgpt.com,3
copilot.com,0
duckduckgo,1
blekko.com,1
facebook.com,1
yahoo,1
yometa.com,2
alhea.com,1
blinkx.com,0
colorof.com,0
datasetsearch.research.google.com,0
ecosia.org,0
egerin.com,1
fresheye.com,1
geona.com,0
heapr.com,0
home.mywebsearch.com,0
iconfinder.com,0
ierblog.xyz,0
ifacnet.com,1
inetmonster.com,1
jamasp.com,0
lexxe.com,1
metacrawler.com,1
multisearching.com,0
myallsearch.com,0
omnimedicalsearch.com,0
panjoy.com,0
pepesearch.com,0
redz.com,0
searchezee.com,1
searchgby.com,0
sify.com,1
simplyhired.com,0
slikk.com,0
snappyfingers.com,1
sperse.com,0
statics.teams.cdn.office.net,0
targ8.com,0
teoma.com,0
toile.com,0
trooker.com,1
vadlo.com,1
web.stagram.com,0
